,Date,Symbol,Series,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Date_Year,Date_Month,VWAP,Day_Perc_Change,Trend,Volatility,21_day_SMA,34_day_SMA,Trade_Call,14_day_SMA,14_day_STD,14_day_bollinger_upper,14_day_bollinger_lower
48,2017-07-21,TCS,EQ,2444.7,2434.9,2500.0,2434.55,2496.0,2491.2,2473.18,1074208,2656704863.2,64460,652870,60.78,2017,7,2477.48,0.01902,Slight or No change,0.03468273899635078,2395.4452380952375,2433.8529411764703,HODL,2413.264285714285,49.22676893946779,2511.7178235932206,2314.8107478353495
49,2017-07-24,TCS,EQ,2491.2,2482.0,2540.0,2482.0,2535.0,2530.7,2519.47,1135701,2861364170.3,68968,749335,65.98,2017,7,2478.51,0.01586,Slight or No change,0.036947916748524635,2401.9142857142847,2431.6985294117644,HODL,2424.9678571428562,56.310815353927964,2537.589487850712,2312.3462264350005
50,2017-07-25,TCS,EQ,2530.7,2525.75,2580.0,2518.4,2579.0,2571.5,2552.41,1339416,3418736144.5,93466,915489,68.35,2017,7,2480.57,0.01612,Slight or No change,0.023825707844723047,2411.904761904761,2428.036764705882,HODL,2440.3607142857136,64.81912460713403,2569.9989634999815,2310.7224650714456
51,2017-07-26,TCS,EQ,2571.5,2560.0,2575.0,2547.0,2552.0,2556.0,2559.66,729913,1868329653.3,38234,464420,63.63,2017,7,2481.47,-0.00603,Slight or No change,0.026964717739450143,2422.054761904761,2426.2941176470586,HODL,2455.249999999999,65.7937862392211,2586.8375724784414,2323.6624275215568
52,2017-07-27,TCS,EQ,2556.0,2542.2,2584.8,2466.5,2477.0,2481.7,2499.85,2127652,5318805858.45,58582,1376530,64.7,2017,7,2481.48,-0.02907,Slight or No change,0.047257878740691116,2428.3238095238084,2425.1205882352933,BUY,2465.9464285714275,55.58750020077768,2577.121428972983,2354.7714281698723
53,2017-07-28,TCS,EQ,2481.7,2481.0,2493.05,2442.0,2484.95,2484.3,2467.41,691376,1705908234.75,55534,349700,50.58,2017,7,2481.51,0.00105,Slight or No change,0.0448949227199474,2435.516666666666,2424.45294117647,HODL,2469.471428571428,55.03266762110063,2579.5367638136295,2359.4060933292267
54,2017-07-31,TCS,EQ,2484.3,2471.0,2519.0,2463.0,2494.95,2491.8,2490.03,1009831,2514510450.4,59801,555095,54.97,2017,7,2481.67,0.00302,Slight or No change,0.0446352809781333,2441.680952380952,2424.588235294117,HODL,2470.614285714285,55.33948176264641,2581.2932492395776,2359.9353221889924
55,2017-08-01,TCS,EQ,2491.8,2500.0,2520.75,2491.0,2495.15,2501.65,2502.14,873730,2186195097.35,42188,620303,70.99,2017,8,2481.94,0.00395,Slight or No change,0.040631356492607906,2447.778571428571,2426.0617647058816,HODL,2475.0571428571425,55.14150627508961,2585.3401554073216,2364.7741303069633
56,2017-08-02,TCS,EQ,2501.65,2500.0,2508.0,2462.0,2475.0,2473.8,2484.51,625512,1554089626.75,44731,366332,58.57,2017,8,2481.86,-0.01113,Slight or No change,0.03774764549316997,2452.871428571428,2426.167647058823,HODL,2477.0142857142855,54.52898815722315,2586.072262028732,2367.956309399839
57,2017-08-03,TCS,EQ,2473.8,2480.0,2502.0,2466.45,2490.05,2489.45,2486.75,941274,2340709563.5,39294,732362,77.81,2017,8,2481.97,0.00633,Slight or No change,0.03286676022630866,2459.22619047619,2428.4691176470583,HODL,2483.585714285714,49.51607131711236,2582.6178569199387,2384.553571651489
58,2017-08-04,TCS,EQ,2489.45,2490.8,2528.3,2488.0,2525.0,2522.8,2510.86,693945,1742396091.9,31371,340218,49.03,2017,8,2482.38,0.0134,Slight or No change,0.03729298440490885,2467.5714285714284,2432.0897058823525,HODL,2492.682142857143,43.39918736895602,2579.480517595055,2405.883768119231
59,2017-08-07,TCS,EQ,2522.8,2516.5,2520.0,2481.2,2507.4,2503.45,2491.28,942760,2348682444.05,29848,699856,74.23,2017,8,2482.67,-0.007670000000000001,Slight or No change,0.022048160897667177,2475.738095238095,2434.2,HODL,2499.475,35.995083798935,2571.46516759787,2427.48483240213
60,2017-08-08,TCS,EQ,2503.45,2512.0,2528.6,2496.3,2500.15,2503.05,2507.64,536979,1346550397.15,24609,309875,57.71,2017,8,2482.83,-0.00016,Slight or No change,0.02209583072064565,2478.980952380952,2435.907352941176,HODL,2503.2928571428574,33.008855788100355,2569.310568719058,2437.2751455666566
61,2017-08-09,TCS,EQ,2503.05,2500.0,2522.85,2493.3,2508.35,2512.0,2511.32,496473,1246803081.55,33860,316032,63.66,2017,8,2483.04,0.00358,Slight or No change,0.02215902085881031,2480.7047619047617,2439.016176470588,HODL,2508.100000000001,28.397954964290967,2564.8959099285826,2451.304090071419
62,2017-08-10,TCS,EQ,2512.0,2509.0,2520.6,2486.35,2520.0,2511.45,2499.22,763086,1907116797.3,37900,507304,66.48,2017,8,2483.34,-0.00022,Slight or No change,0.021942515787702357,2484.133333333333,2442.4455882352936,HODL,2509.5464285714293,27.98363851834369,2565.5137056081167,2453.579151534742
63,2017-08-11,TCS,EQ,2511.45,2499.9,2535.0,2483.0,2492.65,2496.05,2503.79,697368,1746060388.35,41945,327636,46.98,2017,8,2483.47,-0.00613,Slight or No change,0.019228066485646227,2486.497619047619,2446.397058823529,HODL,2507.07142857143,27.49687194996951,2562.065172471369,2452.0776846714907
64,2017-08-14,TCS,EQ,2496.05,2503.0,2509.9,2463.0,2468.0,2469.4,2487.26,393252,978120247.85,29766,227374,57.82,2017,8,2483.39,-0.01068,Slight or No change,0.021436262195252548,2489.9238095238097,2450.119117647058,HODL,2499.7785714285724,22.105531106366843,2543.989633641306,2455.5675092158385
65,2017-08-16,TCS,EQ,2469.4,2484.0,2543.8,2465.2,2490.15,2492.35,2487.66,686670,1708202481.35,44396,437761,63.75,2017,8,2483.47,0.009290000000000001,Slight or No change,0.018366140574252315,2494.5380952380956,2454.304411764705,HODL,2495.232142857144,15.08300887069446,2525.3981605985327,2465.0661251157553
66,2017-08-17,TCS,EQ,2492.35,2500.7,2505.0,2462.1,2485.55,2485.65,2480.04,876187,2172977684.8,40452,613453,70.01,2017,8,2483.5,-0.0026899999999999997,Slight or No change,0.017113816897679338,2498.219047619048,2458.7867647058815,HODL,2495.514285714287,14.845478832233155,2525.205243378753,2465.8233280498207
67,2017-08-18,TCS,EQ,2485.65,2474.0,2549.9,2471.4,2515.0,2513.8,2520.86,1418678,3576281721.8,77980,837580,59.04,2017,8,2484.07,0.01133,Slight or No change,0.021150021269681168,2501.276190476191,2463.241176470587,HODL,2497.62142857143,15.220162668263272,2528.0617539079567,2467.1811032349033
68,2017-08-21,TCS,EQ,2513.8,2505.5,2549.0,2494.3,2513.2,2528.8,2534.62,1152417,2920941547.7,54265,747946,64.9,2017,8,2484.75,0.0059700000000000005,Slight or No change,0.02166620367004341,2505.2809523809533,2467.80588235294,HODL,2500.264285714287,17.2134163749312,2534.6911184641494,2465.8374529644243
69,2017-08-22,TCS,EQ,2528.8,2523.0,2539.5,2492.0,2500.0,2497.55,2516.08,565663,1423251637.7,35029,287383,50.8,2017,8,2484.85,-0.01236,Slight or No change,0.025510207241560515,2505.5833333333344,2471.6499999999987,HODL,2499.97142857143,17.22290195200558,2534.417232475441,2465.525624667419
70,2017-08-23,TCS,EQ,2497.55,2505.0,2516.8,2473.15,2491.6,2489.45,2487.52,781136,1943093967.15,39129,512785,65.65,2017,8,2484.89,-0.00324,Slight or No change,0.024957111404288065,2503.6190476190486,2475.574999999999,HODL,2501.0892857142867,15.846452873793796,2532.7821914618744,2469.396379966699
